No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College,Link
10,Zaccharie Risacher,SF,6-8,200,04-08-2005,es ES,R,,/players/r/risacza01.html
15,Clint Capela,C,6-10,240,05-18-1994,ch CH,10,,/players/c/capelca01.html
11,Trae Young,PG,6-1,164,09-19-1998,us US,6,Oklahoma,/players/y/youngtr01.html
5,Dyson Daniels,SG,6-8,199,03-17-2003,au AU,2,,/players/d/daniedy01.html
1,Jalen Johnson,SF,6-9,220,12-18-2001,us US,3,Duke,/players/j/johnsja05.html
17,Onyeka Okongwu,C,6-8,235,12-11-2000,us US,4,USC,/players/o/okongon01.html
24,Garrison Mathews,SG,6-5,215,10-24-1996,us US,5,Lipscomb,/players/m/mathega01.html
12,De'Andre Hunter,SF,6-8,225,12-02-1997,us US,5,Virginia,/players/h/huntede01.html
27,Vit Krejci,PG,6-8,195,06-19-2000,cz CZ,3,,/players/k/krejcvi01.html
8,David Roddy,PF,6-4,255,03-27-2001,us US,2,Colorado State,/players/r/roddyda01.html
13,Bogdan BogdanoviÄ‡,SG,6-5,220,08-18-1992,rs RS,7,,/players/b/bogdabo01.html
2,Keaton Wallace,PG,6-3,195,02-26-1999,us US,R,Texas-San Antonio,/players/w/wallake01.html
22,Larry Nance Jr.,PF,6-8,245,01-01-1993,us US,9,Wyoming,/players/n/nancela02.html
4,Kobe Bufkin,SG,6-4,195,09-21-2003,us US,1,Michigan,/players/b/bufkiko01.html
0,Dominick Barlow,SF,6-9,221,05-26-2003,us US,2,,/players/b/barlodo01.html
18,Mouhamed Gueye,PF,6-11,210,11-09-2002,sn SN,1,Washington State,/players/g/gueyemo02.html
-1,Cody Zeller,C,6-11,240,10-05-1992,us US,11,Indiana,/players/z/zelleco01.html
-1,Daeqwon Plowden,SG,6-6,215,08-29-1998,us US,R,Bowling Green,/players/p/plowdda01.html
