No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Link
25,Israel Abanikanda,22,RB,0,0,216,5-10,Pittsburgh,10-05-2002,1,,New York Jets / 5th / 143rd pick / 2023,/players/A/AbanIs00.htm
17,Brandon Allen,32,QB,3,1,209,6-2,Arkansas,09-05-1992,5,1,Jacksonville Jaguars / 6th / 201st pick / 2016,/players/A/AlleBr00.htm
69,Evan Anderson,22,DL,12,1,326,6-3,Florida Atlantic,02-14-2002,Rook,1,,/players/A/AndeEv00.htm
-1,Tre Avery,27,CB,0,0,185,5-11,"Toledo,Rutgers",02-26-1997,2,,,/players/A/AverTr01.htm
58,Alex Barrett,30,DL,3,0,250,6-2,San Diego St.,03-06-1994,7,0,,/players/B/BarrAl00.htm
51,Robert Beal,25,DL,14,0,250,6-4,Georgia,08-18-1999,1,1,San Francisco 49ers / 5th / 173rd pick / 2023,/players/B/BealRo00.htm
48,Tatum Bethune,23,LB,11,1,230,6-1,"Central Florida,Florida St.",02-19-2001,Rook,1,San Francisco 49ers / 7th / 251st pick / 2024,/players/B/BethTa00.htm
97,Nick Bosa,27,DL,14,14,266,6-4,Ohio St.,10-23-1997,5,8,San Francisco 49ers / 1st / 2nd pick / 2019,/players/B/BosaNi00.htm
64,Jake Brendel,32,OL,17,17,299,6-4,UCLA,09-10-1992,8,7,,/players/B/BrenJa01.htm
27,Ji'Ayir Brown,24,S,17,13,202,5-11,"Lackawanna,Penn St.",01-25-2000,1,4,San Francisco 49ers / 3rd / 87th pick / 2023,/players/B/BrowJi01.htm
99,Maliek Collins,29,DL,17,17,310,6-2,Nebraska,04-08-1995,8,6,Dallas Cowboys / 3rd / 67th pick / 2016,/players/C/CollMa00.htm
18,Chris Conley,32,WR,15,2,205,6-3,Georgia,10-25-1992,9,1,Kansas City Chiefs / 3rd / 76th pick / 2015,/players/C/ConlCh00.htm
19,Jacob Cowing,23,WR,15,0,171,5-9,"Texas-El Paso,Arizona",02-04-2001,Rook,1,San Francisco 49ers / 4th / 135th pick / 2024,/players/C/CowiJa00.htm
93,Kalia Davis,26,DL,13,0,310,6-2,Central Florida,10-02-1998,1,1,San Francisco 49ers / 6th / 220th pick / 2022,/players/D/DaviKa01.htm
-1,Khalil Davis,28,DT,3,0,315,6-2,Nebraska,08-22-1996,4,0,Tampa Bay Buccaneers / 6th / 194th pick / 2020,/players/D/DaviKh00.htm
5,Joshua Dobbs,29,QB,2,1,220,6-3,Tennessee,01-26-1995,6,1,Pittsburgh Steelers / 4th / 135th pick / 2017,/players/D/DobbJo00.htm
92,Jordan Elliott,27,DL,15,13,303,6-4,"Texas,Missouri",11-23-1997,4,4,Cleveland Browns / 3rd / 88th pick / 2020,/players/E/ElliJo02.htm
56,Leonard Floyd,32,DL,17,17,240,6-3,Georgia,09-08-1992,8,6,Chicago Bears / 1st / 9th pick / 2016,/players/F/FloyLe00.htm
43,Tashaun Gipson,34,S,9,0,212,5-11,Wyoming,08-07-1990,12,0,,/players/G/GipsTa00.htm
41,Jalen Graham,23,LB,8,0,220,6-3,Purdue,01-11-2001,1,0,San Francisco 49ers / 7th / 255th pick / 2023,/players/G/GrahJa02.htm
0,Renardo Green,24,CB,17,7,186,6-0,Florida St.,11-09-2000,Rook,3,San Francisco 49ers / 2nd / 64th pick / 2024,/players/G/GreeRe00.htm
94,Yetur Gross-Matos,26,DL,11,0,265,6-5,Penn St.,02-26-1998,4,1,Carolina Panthers / 2nd / 38th pick / 2020,/players/G/GrosYe00.htm
31,Isaac Guerendo,24,RB,16,3,221,6-0,"Wisconsin,Louisville",06-28-2000,Rook,4,San Francisco 49ers / 4th / 129th pick / 2024,/players/G/GuerIs00.htm
-1,Charlie Heck,28,OL,2,2,315,6-8,North Carolina,11-20-1996,4,1,Houston Texans / 4th / 126th pick / 2020,/players/H/HeckCh00.htm
61,Matt Hennessy,27,OL,2,0,295,6-4,Temple,11-17-1997,4,0,Atlanta Falcons / 3rd / 78th pick / 2020,/players/H/HennMa00.htm
29,Talanoa Hufanga,25,S,7,7,200,6-0,USC,02-02-1999,3,2,San Francisco 49ers / 5th / 180th pick / 2021,/players/H/HufaTa00.htm
15,Jauan Jennings,27,WR,15,10,212,6-3,Tennessee,07-10-1997,3,8,San Francisco 49ers / 7th / 217th pick / 2020,/players/J/JennJa00.htm
44,Kyle Juszczyk,33,FB,17,15,235,6-2,Harvard,04-23-1991,11,2,Baltimore Ravens / 4th / 130th pick / 2013,/players/J/JuszKy00.htm
85,George Kittle,31,TE,15,15,250,6-4,Iowa,10-09-1993,7,9,San Francisco 49ers / 5th / 146th pick / 2017,/players/K/KittGe00.htm
2,Deommodore Lenoir,25,DB,15,15,200,5-10,Oregon,10-06-1999,3,5,San Francisco 49ers / 5th / 172nd pick / 2021,/players/L/LenoDe00.htm
-1,Nick McCloud,26,CB,8,0,193,6-1,"North Carolina St.,Notre Dame",07-09-1998,3,0,,/players/M/McClNi00.htm
68,Colton McKivitz,28,OL,17,17,301,6-6,West Virginia,08-09-1996,4,7,San Francisco 49ers / 5th / 153rd pick / 2020,/players/M/McKiCo00.htm
4,Jake Moody,25,K,14,0,210,6-1,Michigan,11-23-1999,1,0,San Francisco 49ers / 3rd / 99th pick / 2023,/players/M/MoodJa00.htm
6,Malik Mustapha,22,S,16,12,206,5-10,"Richmond,Wake Forest",06-25-2002,Rook,4,San Francisco 49ers / 4th / 124th pick / 2024,/players/M/MustMa00.htm
40,Pat O'Donnell,33,P,8,0,223,6-4,Miami (FL),02-22-1991,10,1,Chicago Bears / 6th / 191st pick / 2014,/players/O/ODonPa00.htm
91,Sam Okuayinonu,26,DL,16,3,269,6-1,Maryland,05-01-1998,2,2,,/players/O/OkuaSa00.htm
14,Ricky Pearsall,24,WR,11,4,189,6-3,"Arizona St.,Florida",09-09-2000,Rook,3,San Francisco 49ers / 1st / 31st pick / 2024,/players/P/PearRi00.htm
46,Taybor Pepper,30,LS,17,0,245,6-4,Michigan St.,05-28-1994,7,1,,/players/P/PeppTa00.htm
62,Austen Pleasants,27,OL,3,0,330,6-7,Ohio,08-22-1997,3,0,,/players/P/PleaAu00.htm
77,Dominick Puni,24,OL,17,17,313,6-5,"Central Missouri St.,Kansas",02-24-2000,Rook,7,San Francisco 49ers / 3rd / 86th pick / 2024,/players/P/PuniDo00.htm
13,Brock Purdy,25,QB,15,15,220,6-1,Iowa St.,12-27-1999,2,13,San Francisco 49ers / 7th / 262nd pick / 2022,/players/P/PurdBr00.htm
1,Deebo Samuel,28,WR,15,15,215,6-0,South Carolina,01-15-1996,5,6,San Francisco 49ers / 2nd / 36th pick / 2019,/players/S/SamuDe00.htm
82,Eric Saubert,30,TE,17,3,248,6-5,Drake,05-01-1994,7,1,Atlanta Falcons / 5th / 174th pick / 2017,/players/S/SaubEr00.htm
32,Patrick Taylor,26,RB,13,1,217,6-2,Memphis,04-29-1998,3,1,,/players/T/TaylPa01.htm
88,Jake Tonges,25,TE,16,0,240,6-4,California,07-08-1999,2,0,,/players/T/TongJa00.htm
7,Charvarius Ward,28,CB,12,12,196,6-1,"Hinds CC,Middle Tenn. St.",05-16-1996,6,3,,/players/W/WardCh01.htm
54,Fred Warner,28,LB,17,17,230,6-3,BYU,11-19-1996,6,13,San Francisco 49ers / 3rd / 70th pick / 2018,/players/W/WarnFr00.htm
47,DaShaun White,24,LB,1,0,225,6-0,Oklahoma,01-02-2000,Rook,0,,/players/W/WhitDa05.htm
9,Brayden Willis,25,TE,10,0,240,6-4,Oklahoma,11-11-1999,1,0,San Francisco 49ers / 7th / 247th pick / 2023,/players/W/WillBr06.htm
53,Dee Winters,24,LB,15,10,227,5-11,TCU,10-17-2000,1,4,San Francisco 49ers / 6th / 216th pick / 2023,/players/W/WintDe00.htm
33,Rock Ya-Sin,28,CB,13,0,195,5-11,Temple,05-23-1996,5,1,Indianapolis Colts / 2nd / 34th pick / 2019,/players/Y/Ya-SRo00.htm
22,Isaac Yiadom,28,CB,17,5,232,6-1,Boston Col.,02-20-1996,6,3,Denver Broncos / 3rd / 99th pick / 2018,/players/Y/YiadIs00.htm
63,Nick Zakelj,25,OL,17,2,316,6-6,Fordham,06-22-1999,2,2,San Francisco 49ers / 6th / 187th pick / 2022,/players/Z/ZakeNi00.htm
59,De'Vondre Campbell,31,LB,13,12,232,6-4,Minnesota,07-01-1993,8,4,Atlanta Falcons / 4th / 115th pick / 2016,/players/C/CampDe00.htm
95,Drake Jackson (PUP),23,DL,0,0,273,6-4,USC,04-12-2001,2,,San Francisco 49ers / 2nd / 61st pick / 2022,/players/J/JackDr01.htm
11,Brandon Aiyuk,26,WR,7,7,200,6-0,Arizona St.,03-17-1998,4,3,San Francisco 49ers / 1st / 25th pick / 2020,/players/A/AiyuBr00.htm
65,Aaron Banks,27,OL,13,13,325,6-5,Notre Dame,09-03-1997,3,6,San Francisco 49ers / 2nd / 48th pick / 2021,/players/B/BankAa00.htm
78,Ben Bartch,26,OL,3,2,315,6-6,Saint John's (MN),07-22-1998,4,1,Jacksonville Jaguars / 4th / 116th pick / 2020,/players/B/BartBe00.htm
74,Spencer Burford,24,OL,15,0,300,6-4,Texas-San Antonio,07-19-2000,2,1,San Francisco 49ers / 4th / 134th pick / 2022,/players/B/BurfSp00.htm
55,Jon Feliciano,32,OL,0,0,325,6-4,Miami (FL),02-10-1992,9,,Oakland Raiders / 4th / 128th pick / 2015,/players/F/FeliJo00.htm
45,Demetrius Flannigan-Fowles,28,LB,12,3,223,6-2,Arizona,09-04-1996,4,2,,/players/F/FlanDe00.htm
90,Kevin Givens,27,DL,8,1,285,6-1,Penn St.,03-01-1997,5,1,,/players/G/GiveKe01.htm
57,Dre Greenlaw,27,LB,2,2,230,6-0,Arkansas,05-25-1997,5,1,San Francisco 49ers / 5th / 148th pick / 2019,/players/G/GreeDr00.htm
98,Javon Hargrave,31,DL,3,3,305,6-2,South Carolina St.,02-07-1993,8,1,Pittsburgh Steelers / 3rd / 89th pick / 2016,/players/H/HargJa00.htm
28,Darrell Luter,24,CB,3,0,190,6-0,"Pearl River CC,South Alabama",04-24-2000,1,0,San Francisco 49ers / 5th / 155th pick / 2023,/players/L/LuteDa00.htm
24,Jordan Mason,25,RB,12,6,223,5-11,Georgia Tech,05-24-1999,2,5,,/players/M/MasoJo00.htm
23,Christian McCaffrey,28,RB,4,4,210,5-11,Stanford,06-07-1996,7,2,Carolina Panthers / 1st / 8th pick / 2017,/players/M/McCaCh01.htm
25,Elijah Mitchell,26,RB,0,0,200,5-10,Louisiana,05-02-1998,3,,San Francisco 49ers / 6th / 194th pick / 2021,/players/M/MitcEl00.htm
76,Jaylon Moore,26,OL,15,5,311,6-4,Western Michigan,01-09-1998,3,3,San Francisco 49ers / 5th / 155th pick / 2021,/players/M/MoorJa04.htm
30,George Odum,31,S,12,2,202,6-1,Central Arkansas,11-03-1993,6,1,,/players/O/OdumGe00.htm
36,Curtis Robinson,26,LB,3,0,235,6-3,Stanford,06-02-1998,3,0,,/players/R/RobiCu00.htm
71,Trent Williams,36,OT,10,10,320,6-5,Oklahoma,07-19-1988,14,5,Washington Redskins / 1st / 4th pick / 2010,/players/W/WillTr21.htm
3,Mitch Wishnowsky,32,P,9,0,220,6-2,Utah,03-03-1992,5,1,San Francisco 49ers / 4th / 110th pick / 2019,/players/W/WishMi00.htm
67,Isaac Alarcon,26,OL,0,0,320,6-7,No College,07-27-1998,Rook,,,/players/A/AlarIs00.htm
84,Russell Gage,28,WR,0,0,184,6-0,LSU,01-22-1996,6,,Atlanta Falcons / 6th / 194th pick / 2018,/players/G/GageRu00.htm
96,Jonathan Garvin,25,DL,0,0,257,6-4,Miami (FL),07-28-1999,4,,Green Bay Packers / 7th / 242nd pick / 2020,/players/G/GarvJo00.htm
60,Sebastian Gutierrez,26,T,1,0,308,6-6,Minot St.,07-06-1998,2,0,,/players/G/GutiSe00.htm
-1,Isaiah Hodgins,26,WR,0,0,200,6-3,Oregon St.,10-21-1998,3,,Buffalo Bills / 6th / 207th pick / 2020,/players/H/HodgIs00.htm
-1,Tarron Jackson,26,DL,0,0,254,6-2,Coastal Carolina,06-22-1998,3,,Philadelphia Eagles / 6th / 191st pick / 2021,/players/J/JackTa02.htm
69,Zack Johnson,31,OL,0,0,301,6-6,North Dakota St.,11-14-1993,2,,,/players/J/JohnZa00.htm
26,Chase Lucas,27,CB,0,0,184,5-11,Arizona St.,03-04-1997,2,,Detroit Lions / 7th / 237th pick / 2022,/players/L/LucaCh01.htm
38,Jaylen Mahoney,24,S,3,0,200,5-11,Vanderbilt,11-19-2000,Rook,0,,/players/M/MahoJa00.htm
-1,Jalen McKenzie,25,T,0,0,315,6-5,USC,07-10-1999,Rook,,,/players/M/McKeJa00.htm
4,Tanner Mordecai,25,QB,0,0,218,6-2,"Oklahoma,SMU,Wisconsin",11-08-1999,Rook,,,/players/M/MordTa00.htm
66,Drake Nugent,23,OL,0,0,298,6-1,Michigan,02-09-2001,Rook,,,/players/N/NugeDr00.htm
83,Terique Owens,25,WR,0,0,193,6-3,Missouri State,09-25-1999,Rook,,,/players/O/OwenTe01.htm
89,Mason Pline,24,TE,0,0,254,6-6,Furman,02-05-2000,Rook,,,/players/P/PlinMa00.htm
81,Trent Taylor,30,WR,2,0,178,5-8,Louisiana Tech,04-30-1994,7,0,San Francisco 49ers / 5th / 177th pick / 2017,/players/T/TaylTr02.htm
